,id,country,country-alpha_3,city,longitude,latitude,cohort,role
0,0sahene,Ghana,GHA,Tamale,-0.8423986,9.4051992,5,participant
1,0x174,United States,USA,Boston,-71.060511,42.3554334,3,participant
2,4iro,Argentina,ARG,"Rancagua, Provincia De Buenos Aires",-60.5045833,-34.0299629,7,participant
3,aath0,Switzerland,CHE,,,,1,expert
4,aath0,Switzerland,CHE,,,,2,expert
5,abdulelahsm,Saudi Arabia,SAU,Dammam,50.1039991,26.4367824,3,participant
6,abraham-dabengwa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
7,abretaud,France,FRA,Rennes,-1.6800198,48.1113387,4,mentor
8,acocac,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
9,acocac,United Kingdom,GBR,London,-0.12765,51.5073359,5,mentor
10,adam-gristwood,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
11,afzal442,India,IND,,,,3,participant
12,agbeltran,United Kingdom,GBR,,,,2,expert
13,agossoubido2021,Benin,BEN,Abomey Calavi,2.3303076367454025,6.51096225,5,participant
14,aida-turing,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
15,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,expert
16,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,mentor
17,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,expert
18,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,mentor
19,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
20,ailís-o'carroll,Ireland,IRL,,,,7,mentor
21,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
22,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,mentor
23,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,speaker
24,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
25,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,mentor
26,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,speaker
27,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,expert
28,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,5,speaker
29,akalikadien,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
30,aldenc,United Kingdom,GBR,London,-0.12765,51.5073359,6,participant
31,alecandian,Netherlands,NLD,,,,5,participant
32,alecandian,Netherlands,NLD,,,,6,expert
33,alecandian,Netherlands,NLD,,,,6,mentor
34,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
35,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,6,expert
36,aleesteele,United Kingdom,GBR,London,-0.12765,51.5073359,6,mentor
37,alexholinski,United Kingdom,GBR,,,,3,expert
38,alexholinski,United Kingdom,GBR,,,,3,speaker
39,alexholinski,United Kingdom,GBR,,,,4,expert
40,alexholinski,United Kingdom,GBR,,,,4,mentor
41,alexholinski,United Kingdom,GBR,,,,5,expert
42,alexwlchan,United Kingdom,GBR,,,,1,speaker
43,alexwlchan,United Kingdom,GBR,,,,2,expert
44,alexwlchan,United Kingdom,GBR,,,,2,speaker
45,alexwlchan,United Kingdom,GBR,,,,3,expert
46,alexwlchan,United Kingdom,GBR,,,,4,expert
47,alexwlchan,United Kingdom,GBR,,,,4,speaker
48,alexwlchan,United Kingdom,GBR,,,,5,expert
49,alexwlchan,United Kingdom,GBR,,,,6,speaker
50,aliaslaurel,Argentina,ARG,Córdoba,-4.7760138,37.8845813,6,expert
51,alihumayun,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
52,alihumayun,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
53,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,6,participant
54,amangoel185,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,7,facilitator
55,amchagas,United Kingdom,GBR,,,,3,speaker
56,anafinovas,Hungary,HUN,Budapest,19.14609412691246,47.48138955,7,participant
57,anayan321,Thailand,THA,Bangkok,100.4935089,13.7524938,1,participant
58,anayan321,Thailand,THA,Bangkok,100.4935089,13.7524938,4,expert
59,andre-vargas-de,Bolivia,,Cochabamba,-66.16756808852,-17.401245799999998,5,participant
60,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,expert
61,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
62,andreasancheztapia,Colombia,COL,"Merced, CA",-120.7678602,37.1641544,6,mentor
63,andreea-avramescu,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,participant
64,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,2,mentor
65,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,3,mentor
66,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,3,speaker
67,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,5,speaker
68,anelda,South Africa,ZAF,Overberg,5.4964645,52.0390484,6,participant
69,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
70,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
71,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,speaker
72,anenadic,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,3,expert
73,angelicamaineri,Netherlands,NLD,,,,7,participant
74,anita-broellochs,United States,USA,,,,1,speaker
75,anita-broellochs,United States,USA,,,,2,expert
76,anita-broellochs,United States,USA,,,,2,mentor
77,anjali-mazumder,United Kingdom,GBR,,,,2,mentor
78,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,1,expert
79,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,expert
80,annakrystalli,United Kingdom,GBR,Sheffield,-1.4702278,53.3806626,3,mentor
81,annalee-sekulic,United States,USA,Columbus,-83.0007065,39.9622601,3,participant
82,annambiller,Germany,DEU,Munich,11.5753822,48.1371079,7,participant
83,anneclinio,Brazil,BRA,,,,1,expert
84,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,expert
85,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,4,mentor
86,annefou,Norway,NOR,Oslo,10.7389701,59.9133301,5,mentor
87,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,expert
88,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,5,mentor
89,annemtreasure,South Africa,ZAF,Cape Town,18.417396,-33.928992,6,mentor
90,anproulx,Canada,CAN,,,,2,participant
91,anshika-sah,India,IND,New Delhi,77.2090057,28.6138954,3,participant
92,antonioggsousa,Portugal,PRT,Oeiras,-9.271300382407272,38.7124971,3,participant
93,arentkievits,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,4,participant
94,ariana-bethany-subroyen,,,,,,6,participant
95,arianna-cortesi,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,7,participant
96,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,expert
97,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,2,mentor
98,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,3,expert
99,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,expert
100,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,4,mentor
101,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,5,mentor
102,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,expert
103,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,6,mentor
104,arielle-bennett,United Kingdom,GBR,Stevenage,-0.2027155,51.9016663,7,mentor
105,arvinpreet-kaur,India,IND,,,,3,participant
106,ashutosh-tiwari,India,IND,"Bilaspur, Chhattisgarh",82.10996498737376,21.98934025,3,participant
107,astroakanksha24,India,IND,,,,5,participant
108,augustincaitlin,United States,USA,Orlando,-81.3790304,28.5421109,4,participant
109,aurigandrea,,,,,,5,participant
110,ayeshadunk,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
111,aymd23,Nigeria,NGA,Ibadan,3.8972497,7.3777462,7,participant
112,b14-rsa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
113,babari-a-babari-michelle-freddia,Cameroon,CMR,Yaoundé,11.5213344,3.8689867,7,participant
114,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,2,speaker
115,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,5,participant
116,babasaraki,Nigeria,NGA,Bauchi,10.0287754,10.6228284,6,participant
117,bailey-harrington,United States,USA,,,,2,participant
118,bakary-n'tji diallo,Mali,MLI,,,,2,participant
119,banshee1221,South Africa,ZAF,,,,2,participant
120,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,3,participant
121,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,facilitator
122,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,participant
123,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,4,speaker
124,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,facilitator
125,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,5,mentor
126,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,expert
127,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,facilitator
128,batoolmm,Saudi Arabia,SAU,Liverpool,-2.99168,53.4071991,6,mentor
129,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,1,speaker
130,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,2,expert
131,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,expert
132,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,3,mentor
133,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,expert
134,bduckles,United States,USA,"Portland, Oregon",-122.674194,45.5202471,4,mentor
135,beapdk,Canada,CAN,,,,2,participant
136,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,2,participant
137,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,3,expert
138,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,5,mentor
139,beatrizserrano,Germany,DEU,Freiburg,7.8494005,47.9960901,7,participant
140,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,1,organizer
141,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,1,speaker
142,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,expert
143,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,organizer
144,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,2,speaker
145,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,expert
146,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,organizer
147,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
148,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
149,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
150,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,mentor
151,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,3,speaker
152,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,expert
153,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,organizer
154,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,mentor
155,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,4,speaker
156,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,5,organizer
157,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,6,organizer
158,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,organizer
159,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
160,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
161,bebatut,France,FRA,Clermont-Ferrand,3.0819427,45.7774551,7,speaker
162,benkrikler,United Kingdom,GBR,,,,2,speaker
163,bethaniley,United Kingdom,GBR,Belfast,-5.9301829,54.596391,6,speaker
164,bgruening,Germany,DEU,,,,1,expert
165,bgruening,Germany,DEU,,,,1,mentor
166,bgruening,Germany,DEU,,,,2,expert
167,bhuvanameenakshik,India,IND,,,,1,expert
168,billbrod,United States,USA,,,,1,participant
169,billbrod,United States,USA,,,,7,mentor
170,birgül-çolak-al,Turkey,TUR,Istanbul,28.9662187,41.0091982,5,participant
171,biscuitnapper,,,,,,4,participant
172,bisola15,Nigeria,NGA,Yaba,-2.8848131505798653,12.811960299999999,7,participant
173,boi-kone,Mali,MLI,,,,2,participant
174,bonetcarne,Spain,ESP,,,,1,participant
175,booktrackergirl,United Kingdom,GBR,Exeter,-3.5269497,50.7255794,7,participant
176,brainonsilicon,United Kingdom,GBR,,,,2,participant
177,brainonsilicon,United Kingdom,GBR,,,,6,participant
178,bresearcher101,,,,,,6,participant
179,bresearcher101,,,,,,7,mentor
180,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,1,participant
181,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,2,mentor
182,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,3,mentor
183,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,expert
184,bruno-soares,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,4,mentor
185,bsolodzi,Ghana,GHA,"Ashaiman, Zenu",-0.0499836,5.7121199,7,participant
186,burceelbasan,Germany,DEU,,,,4,participant
187,burceelbasan,Germany,DEU,,,,5,mentor
188,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,expert
189,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,speaker
190,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,3,expert
191,burkemlou,Australia,AUS,Brisbane,153.0234991,-27.4689682,3,mentor
192,c-martinez,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,3,expert
193,c-martinez,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,3,speaker
194,callummole,United Kingdom,GBR,London,-0.12765,51.5073359,4,participant
195,callummole,United Kingdom,GBR,London,-0.12765,51.5073359,5,participant
196,camachoreina,France,FRA,Paris,2.3483915,48.8534951,3,participant
197,camachoreina,France,FRA,Paris,2.3483915,48.8534951,4,expert
198,camila-gómez,Bolivia,,Cochabamba,-66.16756808852,-17.401245799999998,5,participant
199,carmel-carne,South Africa,ZAF,Cape Town,18.417396,-33.928992,7,participant
200,carol-o'brien,Denmark,DNK,,,,7,participant
201,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,1,participant
202,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,2,expert
203,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,2,speaker
204,cassgvp,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,5,expert
205,cassmurph,Ireland,IRL,,,,6,participant
206,cassmurph,Ireland,IRL,,,,7,facilitator
207,cbolibaugh,United Kingdom,GBR,York,-1.0815361,53.9590555,4,participant
208,cel31,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
209,cemonks,Australia,AUS,Perth,115.8605801,-31.9558964,3,participant
210,cemonks,Australia,AUS,Perth,115.8605801,-31.9558964,4,mentor
211,cgentemann,United States,USA,Santa Rosa,-122.7141049,38.4404925,6,expert
212,chadsansing,United States,USA,,,,4,speaker
213,chadsansing,United States,USA,,,,5,speaker
214,chadsansing,United States,USA,,,,6,speaker
215,chiara-damiani,,,,,,3,participant
216,chiarabertipaglia,United States,USA,,,,1,participant
217,chiarabertipaglia,United States,USA,,,,2,expert
218,christina-ambrosi,Switzerland,CHE,,,,2,participant
219,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,1,participant
220,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,2,expert
221,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,2,speaker
222,christinerogers,Canada,CAN,Montreal,-73.5698065,45.5031824,3,expert
223,chucklesongithub,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,4,participant
224,chukaogbo,Nigeria,NGA,"Abeokuta, Ogun State.",3.3450438,7.139576,7,participant
225,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,3,participant
226,cl379,Spain,ESP,Barcelona,2.1774322,41.3828939,5,participant
227,claudia-mignone,Italy,ITA,Roma,12.4829321,41.8933203,7,participant
228,codito22,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
229,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,5,participant
230,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,6,facilitator
231,complexbrains,Canada,CAN,Montreal,-73.5698065,45.5031824,7,mentor
232,contraexemplo,Brazil,BRA,,,,6,speaker
233,coopersmout,Australia,AUS,Brisbane,153.0234991,-27.4689682,2,participant
234,coopersmout,Australia,AUS,Brisbane,153.0234991,-27.4689682,4,expert
235,crangelsmith,United Kingdom,GBR,,,,2,participant
236,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,2,participant
237,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,3,expert
238,da5nsy,United States,USA,Washington Dc,-77.0365427,38.8950368,4,facilitator
239,dadditolu,United Kingdom,GBR,Glasgow,-4.2497933,55.8606182,3,participant
240,dadditolu,United Kingdom,GBR,Glasgow,-4.2497933,55.8606182,6,mentor
241,danae-carelis-davila-espinoza,Bolivia,,,,,5,participant
242,daniel-kochin,United Kingdom,GBR,Oxford,-1.2578499,51.7520131,7,participant
243,dannycolin,Canada,CAN,,,,1,participant
244,danwchan,,,New York City,-74.0060152,40.7127281,7,participant
245,darwin-diaz,Peru,PER,Lima,-77.0365256,-12.0621065,5,participant
246,dasaderi,United States,USA,,,,1,expert
247,dasaderi,United States,USA,,,,1,mentor
248,dasaderi,United States,USA,,,,2,expert
249,dasaptaerwin,India,IND,,,,6,speaker
250,david-selassie-opoku,Germany,DEU,Berlin,13.3888599,52.5170365,4,expert
251,davidbeavan,United Kingdom,GBR,,,,2,participant
252,davidviryachen,Japan,JPN,,,,1,participant
253,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,expert
254,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,5,mentor
255,deepakunni3,Switzerland,CHE,Basel,7.5878261,47.5581077,6,expert
256,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,2,mentor
257,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,expert
258,delphine-l,United States,USA,Raleigh,-78.6390989,35.7803977,4,mentor
259,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,1,expert
260,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,1,speaker
261,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,2,expert
262,demellina,United Kingdom,GBR,London,-0.12765,51.5073359,3,expert
263,diana-pilvar,Estonia,EST,Tartu,26.72245,58.3801207,7,participant
264,didik-utomo,Indonesia,IDN,Malang,112.6340291,-7.9771206,3,participant
265,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,4,participant
266,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,5,mentor
267,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,6,mentor
268,diegoonna,Argentina,ARG,Ciudad Autónoma De Buenos Aires,-58.4370894,-34.6075682,7,mentor
269,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,mentor
270,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
271,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,mentor
272,dimmestp,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,6,expert
273,dingaaling,United Kingdom,GBR,London,-0.12765,51.5073359,6,participant
274,dlebauer,United States,USA,,,,1,participant
275,doaamkader,Egypt,EGY,Obour City,31.481586781267453,30.162908350000002,7,participant
276,dsarahstamps,United States,USA,,,,5,speaker
277,dudova,Czechia,CZE,Brno,16.6113382,49.1922443,3,participant
278,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,3,participant
279,duerrsimon,Switzerland,CHE,Lausanne,6.6327025,46.5218269,4,expert
280,dylan-bastiaans,Switzerland,CHE,,,,2,participant
281,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,3,expert
282,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,3,mentor
283,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,4,expert
284,ealescak,United States,USA,Anchorage,-149.894852,61.2163129,4,mentor
285,ecsalomon,United States,USA,"Chicago, Il",-87.6244212,41.8755616,4,participant
286,eirini-zormpa,United Kingdom,GBR,,,,6,participant
287,eirinibotsari,Netherlands,NLD,Dem Haag,4.3113461,52.0799838,5,participant
288,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,2,participant
289,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,3,expert
290,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,3,mentor
291,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,expert
292,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,facilitator
293,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,mentor
294,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,4,speaker
295,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,5,mentor
296,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,5,participant
297,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,6,expert
298,ekaroune,United Kingdom,GBR,Portsmouth,-1.075614,50.8036831,6,mentor
299,ekeluv,South Africa,ZAF,,,,2,participant
300,ekin-bolukbasi,United Kingdom,GBR,London,-0.12765,51.5073359,2,speaker
301,elena-giglia,Italy,ITA,Turin,7.6824892,45.0677551,6,participant
302,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,4,participant
303,elisa-on-github,Netherlands,NLD,Amsterdam,4.8924534,52.3730796,6,expert
304,elsasci,United Kingdom,GBR,,,,1,participant
305,emma-anne-harris,Germany,DEU,Berlin,13.3888599,52.5170365,3,expert
306,emma-anne-harris,Germany,DEU,Berlin,13.3888599,52.5170365,3,speaker
307,emma-lawrence,United Kingdom,GBR,London,-0.12765,51.5073359,3,participant
308,emma-lawrence,United Kingdom,GBR,London,-0.12765,51.5073359,4,expert
309,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,4,participant
310,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,5,participant
311,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,6,participant
312,emmanuel19-ada,Nigeria,NGA,Ogbomosho,4.25,8.133,7,participant
313,emmyft,Netherlands,NLD,,,,1,expert
314,emmyft,Netherlands,NLD,,,,2,expert
315,emmyft,Netherlands,NLD,,,,3,organizer
316,emmyft,Netherlands,NLD,,,,3,speaker
317,emmyft,Netherlands,NLD,,,,3,speaker
318,emmyft,Netherlands,NLD,,,,3,speaker
319,emmyft,Netherlands,NLD,,,,4,organizer
320,emmyft,Netherlands,NLD,,,,4,mentor
321,emmyft,Netherlands,NLD,,,,4,speaker
322,emmyft,Netherlands,NLD,,,,4,speaker
323,emmyft,Netherlands,NLD,,,,5,organizer
324,emmyft,Netherlands,NLD,,,,5,mentor
325,emmyft,Netherlands,NLD,,,,5,speaker
326,emmyft,Netherlands,NLD,,,,6,organizer
327,emmyft,Netherlands,NLD,,,,7,organizer
328,emmyft,Netherlands,NLD,,,,7,speaker
329,esbusis,Turkey,TUR,Istanbul,28.9662187,41.0091982,5,participant
330,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,expert
331,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,mentor
332,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,3,speaker
333,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,expert
334,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,mentor
335,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,4,mentor
336,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,5,mentor
337,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,6,expert
338,estherplomp,Netherlands,NLD,The Hague,4.3113461,52.0799838,6,mentor
339,evaherbst,Switzerland,CHE,,,,2,participant
340,evelyngreeves,United Kingdom,GBR,,,,5,participant
341,ewa-leś,Poland,POL,,,,4,participant
342,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,3,expert
343,ewallace,United Kingdom,GBR,Edinburgh,-3.1883749,55.9533456,4,expert
